id	name	class
!!a	a	MagicKnight	No
assassintools	Assassin Tools	Item	No
assassintoolsrare	Assassin Tools	Item	Rare
avoidancecollar	Avoidance Collar	Item	No
avoidancecollarrare	Avoidance Collar	Item	Rare
bandages	Bandages	Item	No
bandagesrare	Bandages	Item	Rare
bastion	Bastion	Item	No
bastionrare	Bastion	Item	Rare
battleaxe	Battle Axe	Item	No
battleaxerare	Battle Axe	Item	Rare
beermug	Beer Mug	Item	No
beermugrare	Beer Mug	Item	Rare
bell	Bell	Item	No
bellrare	Bell	Item	Rare
belphyorpipe	Belphyor's Pipe	Item	No
belphyorpiperare	Belphyor's Pipe	Item	Rare
berserkerclaw	Berserker Claw	Item	No
berserkerclawrare	Berserker Claw	Item	Rare
berserkpotion	Berserk Potion	Item	No
berserkpotionrare	Berserk Potion	Item	Rare
blackguard	Blackguard	Item	No
blackguardrare	Blackguard	Item	Rare
blooddguard	Bloodguard	Item	No
blooddguardrare	Bloodguard	Item	Rare
bloodgoblet	Blood Goblet	Item	No
bloodgobletrare	Blood Goblet	Item	Rare
bloodseeker	Bloodseeker	Item	No
bloodseekerrare	Bloodseeker	Item	Rare
bloodstone	Bloodstone	Item	No
bloodstonerare	Bloodstone	Item	Rare
boneclaws	Bone Claws	Item	No
boneclawsa	Bone Claws	Item	A
boneclawsb	Bone Claws	Item	B
boneclawsrare	Bone Claws	Item	Rare
bonering	Bone Ring	Item	No
boneringrare	Bone Ring	Item	Rare
bonkhammer	Bonk Hammer	Item	No
bonkhammerrare	Bonk Hammer	Item	Rare
bootsofswiftness	Boots of Swiftness	Item	No
bootsofswiftnessrare	Boots of Swiftness	Item	Rare
brassamulet	Brass Amulet	Item	No
brassamuletrare	Brass Amulet	Item	Rare
breastplate	Breastplate	Item	No
breastplaterare	Breastplate	Item	Rare
brigandarmor	Brigand Armor	Item	No
brigandarmorrare	Brigand Armor	Item	Rare
brokenitem	Broken Item	Item	No
bronzegear	Bronze Gear	Item	No
bronzegearrare	Bronze Gear	Item	Rare
bucket	Bucket	Item	No
bucketrare	Bucket	Item	Rare
burneditem	Burned Item	Item	No
burningorb	Burning Orb	Item	No
burningorbrare	Burning Orb	Item	Rare
butcherblock	Butcher Block	Item	No
butcherblockrare	Butcher Block	Item	Rare
butchersknife	Butcher's Knife	Item	No
butcherskniferare	Butcher's Knife	Item	Rare
chaliceofkings	Chalice of Kings	Item	No
chaliceofkingsrare	Chalice of Kings	Item	Rare
chargedtrident	Charged Trident	Item	No
chargedtridentrare	Charged Trident	Item	Rare
cheese	Cheese	Item	No
cheeserare	Cheese	Item	Rare
clairvoyantscroll	Clairvoyant Scroll	Item	No
clairvoyantscrollrare	Clairvoyant Scroll	Item	Rare
clergyamulet	Clergy Amulet	Item	No
clergyamuletrare	Clergy Amulet	Item	Rare
cloackofevasion	Cloak of Evasion	Item	No
cloackofevasionrare	Cloak of Evasion	Item	Rare
cloackofspeed	Cloak of Speed	Item	No
cloackofspeedrare	Cloak of Speed	Item	Rare
cloudsong	Cloudsong	Item	No
cloudsongrare	Cloudsong	Item	Rare
club	Club	Item	No
clubrare	Club	Item	Rare
coldbonegoblet	Cold Bone Goblet	Item	No
coldbonegobletrare	Cold Bone Goblet	Item	Rare
coldbook	Cold Book	Item	No
coldbookrare	Cold Book	Item	Rare
combatbandages	Combat Bandages	Item	No
combatbandagesa	Combat Bandages	Item	A
combatbandagesb	Combat Bandages	Item	B
continuumblade	Continuum Blade	Item	No
continuumbladerare	Continuum Blade	Item	Rare
coolingservos	Cooling Servos	Item	No
coolingservosrare	Cooling Servos	Item	Rare
armageddon	Armageddon	Monster	No
armageddona	Armageddon	Monster	A
armageddonb	Armageddon	Monster	B
armageddonrare	Armageddon	Monster	Rare
ashysky	Ashy Sky	Monster	No
ashyskya	Ashy Sky	Monster	A
ashyskyb	Ashy Sky	Monster	B
ashyskyrare	Ashy Sky	Monster	Rare
backlash	Backlash	Monster	No
backlasha	Backlash	Monster	A
backlashb	Backlash	Monster	B
backlashrare	Backlash	Monster	Rare
bomblottery	Bomb Lottery	Monster	No
bomblotterya	Bomb Lottery	Monster	A
bomblotteryb	Bomb Lottery	Monster	B
bomblotteryrare	Bomb Lottery	Monster	Rare
burningweapons	Burning Weapons	Monster	No
burningweaponsa	Burning Weapons	Monster	A
burningweaponsb	Burning Weapons	Monster	B
burningweaponsrare	Burning Weapons	Monster	Rare
chaoticwind	Chaotic Wind	Monster	No
chaoticwinda	Chaotic Wind	Monster	A
chaoticwindb	Chaotic Wind	Monster	B
chaoticwindrare	Chaotic Wind	Monster	Rare
coldfront	Cold Front	Monster	No
coldfronta	Cold Front	Monster	A
coldfrontb	Cold Front	Monster	B
empower	Empower	Monster	No
empowera	Empower	Monster	A
empowerb	Empower	Monster	B
empowerrare	Empower	Monster	Rare
forestallies	Forest Allies	Monster	No
forestalliesa	Forest Allies	Monster	A
forestalliesb	Forest Allies	Monster	B
fungaloutbreak	Fungal Outbreak	Monster	No
fungaloutbreaka	Fungal Outbreak	Monster	A
fungaloutbreakb	Fungal Outbreak	Monster	B
fungaloutbreakrare	Fungal Outbreak	Monster	Rare
heavenlyarmaments	Heavenly Armaments	Monster	No
heavenlyarmamentsa	Heavenly Armaments	Monster	A
heavenlyarmamentsb	Heavenly Armaments	Monster	B
heavenlyarmamentsrare	Heavenly Armaments	Monster	Rare
heavyweaponry	Heavy Weaponry	Monster	No
heavyweaponrya	Heavy Weaponry	Monster	A
heavyweaponryb	Heavy Weaponry	Monster	B
heavyweaponryrare	Heavy Weaponry	Monster	Rare
hexproof	Hexproof	Monster	No
hexproofa	Hexproof	Monster	A
hexproofb	Hexproof	Monster	B
hexproofrare	Hexproof	Monster	Rare
hypotermia	Hypothermia	Monster	No
hypotermiaa	Hypothermia	Monster	A
hypotermiab	Hypothermia	Monster	B
hypotermiarare	Hypothermia	Monster	Rare
ironclad	Ironclad	Monster	No
ironclada	Ironclad	Monster	A
ironcladb	Ironclad	Monster	B
ironcladrare	Ironclad	Monster	Rare
lavabursts	Lava Bursts	Monster	No
lavaburstsa	Lava Bursts	Monster	A
lavaburstsb	Lava Bursts	Monster	B
livingforest	Living Forest	Monster	No
livingforesta	Living Forest	Monster	A
livingforestb	Living Forest	Monster	B
livingforestrare	Living Forest	Monster	Rare
meatfeast	Meat Feast	Monster	No
meatfeasta	Meat Feast	Monster	A
meatfeastb	Meat Feast	Monster	B
melancholy	Melancholy	Monster	No
melancholya	Melancholy	Monster	A
melancholyb	Melancholy	Monster	B
melancholyrare	Melancholy	Monster	Rare
noxiousparasites	Noxious Parasites	Monster	No
noxiousparasitesa	Noxious Parasites	Monster	A
noxiousparasitesb	Noxious Parasites	Monster	B
noxiousparasitesrare	Noxious Parasites	Monster	Rare
pacifism	Pacifism	Monster	No
pacifisma	Pacifism	Monster	A
pacifismb	Pacifism	Monster	B
pacifismrare	Pacifism	Monster	Rare
poisonfields	Poison Fields	Monster	No
poisonfieldsa	Poison Fields	Monster	A
poisonfieldsb	Poison Fields	Monster	B
poisonfieldsrare	Poison Fields	Monster	Rare
putrefaction	Putrefaction	Monster	No
putrefactiona	Putrefaction	Monster	A
putrefactionb	Putrefaction	Monster	B
putrefactionrare	Putrefaction	Monster	Rare
resurrection	Resurrection	Monster	No
resurrectiona	Resurrection	Monster	A
resurrectionb	Resurrection	Monster	B
resurrectionrare	Resurrection	Monster	Rare
revenge	Revenge	Monster	No
revengea	Revenge	Monster	A
revengeb	Revenge	Monster	B
revengerare	Revenge	Monster	Rare
rosegarden	Rose Garden	Monster	No
rosegardena	Rose Garden	Monster	A
rosegardenb	Rose Garden	Monster	B
rosegardenrare	Rose Garden	Monster	Rare
sacredground	Sacred Ground	Monster	No
sacredgrounda	Sacred Ground	Monster	A
sacredgroundb	Sacred Ground	Monster	B
sacredgroundrare	Sacred Ground	Monster	Rare
snowfall	Snowfall	Monster	No
snowfalla	Snowfall	Monster	A
snowfallb	Snowfall	Monster	B
snowfallrare	Snowfall	Monster	Rare
starrynight	Starry Night	Monster	No
starrynighta	Starry Night	Monster	A
starrynightb	Starry Night	Monster	B
starrynightrare	Starry Night	Monster	Rare
subzero	Sub Zero	Monster	No
subzeroa	Sub Zero	Monster	A
subzerob	Sub Zero	Monster	B
subzerorare	Sub Zero	Monster	Rare
thornproliferation	Thorn Proliferation	Monster	No
thornproliferationa	Thorn Proliferation	Monster	A
thornproliferationb	Thorn Proliferation	Monster	B
thornproliferationrare	Thorn Proliferation	Monster	Rare
thunderstorm	Thunderstorm	Monster	No
thunderstorma	Thunderstorm	Monster	A
thunderstormb	Thunderstorm	Monster	B
thunderstormrare	Thunderstorm	Monster	Rare
upwind	Upwind	Monster	No
upwinda	Upwind	Monster	A
upwindb	Upwind	Monster	B
upwindrare	Upwind	Monster	Rare
vigorous	Vigorous	Monster	No
vigorousa	Vigorous	Monster	A
vigorousb	Vigorous	Monster	B
vigorousrare	Vigorous	Monster	Rare
windsofamnesia	Winds of Amnesia	Monster	No
windsofamnesiaa	Winds of Amnesia	Monster	A
windsofamnesiab	Winds of Amnesia	Monster	B
windsofamnesiarare	Winds of Amnesia	Monster	Rare
crankcrossbow	Crank Crossbow	Item	No
crankcrossbowrare	Crank Crossbow	Item	Rare
crossbow	Crossbow	Item	No
crossbowrare	Crossbow	Item	Rare
crusaderhelmet	Crusader Helmet	Item	No
crusaderhelmetrare	Crusader Helmet	Item	Rare
crystalball	Crystal Ball	Item	No
crystalballrare	Crystal Ball	Item	Rare
cupofdeath	Cup of Death	Item	No
cupofdeathrare	Cup of Death	Item	Rare
curseddagger	Cursed Dagger	Item	No
curseddaggerrare	Cursed Dagger	Item	Rare
cursedjewelersring	Cursed Jeweler's Ring	Item	No
dagger	Dagger	Item	No
daggerrare	Dagger	Item	Rare
darkhood	Dark Hood	Item	No
darkhoodrare	Dark Hood	Item	Rare
dartpouch	Dart Pouch	Item	No
dartpouchrare	Dart Pouch	Item	Rare
destiny	Destiny	Item	No
destinyrare	Destiny	Item	Rare
destroyergauntlets	Destroyer Gauntlets	Item	No
destroyergauntletsrare	Destroyer Gauntlets	Item	Rare
detoxpotion	Detox Potion	Item	No
detoxpotionrare	Detox Potion	Item	Rare
diamondring	Diamond Ring	Item	No
diamondringrare	Diamond Ring	Item	Rare
dirtybandages	Dirty Bandages	Item	No
dirtybandagesrare	Dirty Bandages	Item	Rare
divinationorb	Divination Orb	Item	No
divinationorbrare	Divination Orb	Item	Rare
dreamcatcher	Dreamcatcher	Item	No
dreamcatcherrare	Dreamcatcher	Item	Rare
dreamsphere	Dream Sphere	Item	No
dreamsphererare	Dream Sphere	Item	Rare
druidicamulet	Druidic Amulet	Item	No
druidicamuletrare	Druidic Amulet	Item	Rare
dryadmask	Dryad Mask	Item	No
dryadmaskrare	Dryad Mask	Item	Rare
edgeoffury	Edge of Fury	Item	No
edgeoffuryrare	Edge of Fury	Item	Rare
eeriering	Eerie Ring	Item	No
eerieringrare	Eerie Ring	Item	Rare
elvenquiver	Elven Quiver	Item	No
elvenquiverrare	Elven Quiver	Item	Rare
emeraldnecklace	Emerald Necklace	Item	No
emeraldnecklacerare	Emerald Necklace	Item	Rare
emeraldstaff	Emerald Staff	Item	No
emeraldstaffrare	Emerald Staff	Item	Rare
endlessbag	Endless Bag	Item	No
endlessbagrare	Endless Bag	Item	Rare
eternalcandle	Eternal Candle	Item	No
eternalcandlerare	Eternal Candle	Item	Rare
faithring	Faith Ring	Item	No
faithringrare	Faith Ring	Item	Rare
familyjewels	Family Jewels	Item	No
familyjewelsa	Family Jewels	Item	A
familyjewelsb	Family Jewels	Item	B
familyjewelsrare	Family Jewels	Item	Rare
ferventring	Fervent Ring	Item	No
ferventringrare	Fervent Ring	Item	Rare
fierywand	Fiery Wand	Item	No
fierywandrare	Fiery Wand	Item	Rare
firebook	Fire Book	Item	No
firebookrare	Fire Book	Item	Rare
firerune	Fire Rune	Item	No
firerunerare	Fire Rune	Item	Rare
fishingrod	Fishing Rod	Item	No
fishingrodrare	Fishing Rod	Item	Rare
flail	Flail	Item	No
flailrare	Flail	Item	Rare
flamingsword	Flaming Sword	Item	No
flamingswordrare	Flaming Sword	Item	Rare
flute	Flute	Item	No
fluterare	Flute	Item	Rare
forestbanner	Forest Banner	Item	No
forestbannera	Forest Banner	Item	A
forestbannerb	Forest Banner	Item	B
forestcrown	Forest Crown	Item	No
forestcrownrare	Forest Crown	Item	Rare
fountainpen	Fountain Pen	Item	No
fountainpenrare	Fountain Pen	Item	Rare
fourleafclover	Four Leaf Clover	Item	No
fourleafcloverrare	Four Leaf Clover	Item	Rare
frostfirering	Frostfire Ring	Item	No
frostfireringrare	Frostfire Ring	Item	Rare
frostguard	Frostguard	Item	No
frostguardrare	Frostguard	Item	Rare
frozenheirloom	Frozen Heirloom	Item	No
frozenheirloomrare	Frozen Heirloom	Item	Rare
frozenorb	Frozen Orb	Item	No
frozenorbrare	Frozen Orb	Item	Rare
garnetearrings	Garnet Earrings	Item	No
garnetearringsrare	Garnet Earrings	Item	Rare
gauntlets	Gauntlets	Item	No
gauntletsrare	Gauntlets	Item	Rare
gihlrunestone	Gihl Runestone	Item	No
gihlrunestonerare	Gihl Runestone	Item	Rare
glacialhammer	Glacial Hammer	Item	No
glacialhammerrare	Glacial Hammer	Item	Rare
gladiatorhelmet	Gladiator Helmet	Item	No
gladiatorhelmetrare	Gladiator Helmet	Item	Rare
gloves	Gloves	Item	No
glovesofagility	Gloves of Agility	Item	No
glovesofagilityrare	Gloves of Agility	Item	Rare
glovesrare	Gloves	Item	Rare
goblinamulet	Goblin Amulet	Item	No
goblinamuletrare	Goblin Amulet	Item	Rare
goggles	Goggles	Item	No
gogglesrare	Goggles	Item	Rare
goldchain	Gold Chain	Item	No
goldchainrare	Gold Chain	Item	Rare
goldenbell	Golden Bell	Item	No
goldenbellrare	Golden Bell	Item	Rare
goldenchalice	Golden Chalice	Item	No
goldenchalicerare	Golden Chalice	Item	Rare
goldencloak	Golden Cloak	Item	No
goldencloakrare	Golden Cloak	Item	Rare
goldencross	Golden Cross	Item	No
goldencrossrare	Golden Cross	Item	Rare
goldenharp	Golden Harp	Item	No
goldenharprare	Golden Harp	Item	Rare
goldenlaurel	Golden Laurel	Item	No
goldenlaurelrare	Golden Laurel	Item	Rare
goldring	Gold Ring	Item	No
goldringrare	Gold Ring	Item	Rare
greaterhealthpotion	Greater Health Potion	Item	No
greaterhealthpotionrare	Greater Health Potion	Item	Rare
greatermanapotion	Greater Mana Potion	Item	No
greatermanapotionrare	Greater Mana Potion	Item	Rare
handbook	Handbook	Item	No
handbookrare	Handbook	Item	Rare
healingbook	Healing Book	Item	No
healingbookrare	Healing Book	Item	Rare
healthpotion	Health Potion	Item	No
healthpotionrare	Health Potion	Item	Rare
heartamulet	Heart Amulet	Item	No
heartamuletrare	Heart Amulet	Item	Rare
heartofthorns	Heart of Thorns	Item	No
heartofthornsrare	Heart of Thorns	Item	Rare
heavybelt	Heavy Belt	Item	No
heavybeltrare	Heavy Belt	Item	Rare
heavypackage	Heavy Package	Item	No
hellblade	Hellblade	Item	No
hellbladerare	Hellblade	Item	Rare
helmet	Helmet	Item	No
helmetrare	Helmet	Item	Rare
hightchancellorstaff	High Chancellor Staff	Item	No
hightchancellorstaffa	High Chancellor Staff	Item	A
hightchancellorstaffb	High Chancellor Staff	Item	B
hightchancellorstaffrare	High Chancellor Staff	Item	Rare
holybook	Holy Book	Item	No
holybookrare	Holy Book	Item	Rare
holygrail	Holy Grail	Item	No
holygrailrare	Holy Grail	Item	Rare
holyhammer	Holy Hammer	Item	No
holyhammerrare	Holy Hammer	Item	Rare
hornethelmet	Horned Helmet	Item	No
hornethelmetrare	Horned Helmet	Item	Rare
hourglassofdeath	Hourglass of Death	Item	No
hourglassofdeathrare	Hourglass of Death	Item	Rare
huntingring	Hunting Ring	Item	No
huntingringrare	Hunting Ring	Item	Rare
hydraegg	Hydra Egg	Item	No
hydraeggrare	Hydra Egg	Item	Rare
hypnoshell	Hypno Shell	Item	No
hypnoshellrare	Hypno Shell	Item	Rare
icywand	Icy Wand	Item	No
icywandrare	Icy Wand	Item	Rare
ignidohscore	Ignidoh's Core	Item	No
ignidohscorerare	Ignidoh's Core	Item	Rare
igniscloack	Ignis Cloak	Item	No
igniscloackrare	Ignis Cloak	Item	Rare
impstatuette	Imp Statuette	Item	No
impstatuetterare	Imp Statuette	Item	Rare
ironfortress	Iron Fortress	Item	No
ironfortressrare	Iron Fortress	Item	Rare
ironkanabo	Iron Kanabo	Item	No
ironkanaborare	Iron Kanabo	Item	Rare
ironwand	Iron Wand	Item	No
ironwandrare	Iron Wand	Item	Rare
jadering	Jade Ring	Item	No
jaderingrare	Jade Ring	Item	Rare
jewelersring	Jeweler's Ring	Item	No
jewelersringrare	Jeweler's Ring	Item	Rare
jinglebell	Jingle Bell	Item	No
jinglebella	Jingle Bell	Item	A
jinglebellb	Jingle Bell	Item	B
justicarring	Justicar Ring	Item	No
justicarringrare	Justicar Ring	Item	Rare
kingmaker	Kingmaker	Item	No
kingmakerrare	Kingmaker	Item	Rare
kiteshield	Heater Shield	Item	No
kiteshieldrare	Heater Shield	Item	Rare
lapisnecklace	Lapis Necklace	Item	No
lapisnecklacerare	Lapis Necklace	Item	Rare
largepouch	Large Pouch	Item	No
largepouchrare	Large Pouch	Item	Rare
largeshield	Kite Shield	Item	No
largeshieldrare	Kite Shield	Item	Rare
lavacrystal	Lava Crystal	Item	No
lavacrystalrare	Lava Crystal	Item	Rare
lavaorb	Lava Orb	Item	No
lavaorbrare	Lava Orb	Item	Rare
leatherarmor	Leather Armor	Item	No
leatherarmorrare	Leather Armor	Item	Rare
leatherboots	Leather Boots	Item	No
leatherbootsrare	Leather Boots	Item	Rare
leathergloves	Leather Gloves	Item	No
leatherglovesrare	Leather Gloves	Item	Rare
lifeessence	Life Essence	Item	No
lifeessencerare	Life Essence	Item	Rare
lightbringer	Lightbringer	Item	No
lightbringerrare	Lightbringer	Item	Rare
lightningbook	Lightning Book	Item	No
lightningbookrare	Lightning Book	Item	Rare
lightningspear	Lightning Spear	Item	No
lightningspearrare	Lightning Spear	Item	Rare
lockpicks	Lockpicks	Item	No
lockpicksrare	Lockpicks	Item	Rare
longbow	Long Bow	Item	No
longbowrare	Long Bow	Item	Rare
luckypaw	Lucky Paw	Item	No
luckypawrare	Lucky Paw	Item	Rare
madnessring	Madness Ring	Item	No
madnessringrare	Madness Ring	Item	Rare
magictome	Magic Tome	Item	No
magictomerare	Magic Tome	Item	Rare
magusstaff	Magus Staff	Item	No
magusstaffrare	Magus Staff	Item	Rare
manaloop	Mana Loop	Item	No
manalooprare	Mana Loop	Item	Rare
manapotion	Mana Potion	Item	No
manapotionrare	Mana Potion	Item	Rare
matriarchsclaw	Matriarch's Claw	Item	No
matriarchsclawrare	Matriarch's Claw	Item	Rare
meatbag	Meat Bag	Item	No
meatbaga	Meat Bag	Item	A
meatbagb	Meat Bag	Item	B
merchantbadge	Merchant Badge	Item	No
merchantbadgerare	Merchant Badge	Item	Rare
mindbook	Mind Book	Item	No
mindbookrare	Mind Book	Item	Rare
minotaurhorn	Minotaur Horn	Item	No
minotaurhornrare	Minotaur Horn	Item	Rare
mirrorofkalandra	Mirror of Kassandra	Item	No
mirrorofkalandrarare	Mirror of Kassandra	Item	Rare
mnemrunestone	Mnem Runestone	Item	No
mnemrunestonerare	Mnem Runestone	Item	Rare
morningstar	Morning Star	Item	No
morningstarrare	Morning Star	Item	Rare
mountainking	Mountain King	Item	No
mountainkingrare	Mountain King	Item	Rare
mysticstaff	Mystic Staff	Item	No
mysticstaffrare	Mystic Staff	Item	Rare
netherblade	Netherblade	Item	No
netherbladerare	Netherblade	Item	Rare
neverfrost	Neverfrost	Item	No
neverfrostrare	Neverfrost	Item	Rare
nightveil	Nightveil	Item	No
nightveilrare	Nightveil	Item	Rare
ninjascroll	Ninja Scroll	Item	No
ninjascrollrare	Ninja Scroll	Item	Rare
nobleshield	Noble Shield	Item	No
nobleshieldrare	Noble Shield	Item	Rare
nullifier	Nullifier	Item	No
nullifierrare	Nullifier	Item	Rare
obsidiandagger	Obsidian Dagger	Item	No
obsidiandaggerrare	Obsidian Dagger	Item	Rare
obsidianring	Obsidian Ring	Item	No
obsidianringrare	Obsidian Ring	Item	Rare
obsidianrod	Obsidian Staff	Item	No
obsidianrodrare	Obsidian Staff	Item	Rare
oldhorseshoe	Old Horseshoe	Item	No
oldhorseshoerare	Old Horseshoe	Item	Rare
onyxamulet	Onyx Amulet	Item	No
onyxamuletrare	Onyx Amulet	Item	Rare
opalring	Opal Ring	Item	No
opalringrare	Opal Ring	Item	Rare
orbofstorms	Orb of Storms	Item	No
orbofstormsrare	Orb of Storms	Item	Rare
osmiumfeet	Osmium Feet	Item	No
osmiumfeetrare	Osmium Feet	Item	Rare
pandorasbox	Pandora's Box	Item	No
pandorasboxrare	Pandora's Box	Item	Rare
ancientorb	Ancient Orb	Monster	No
ancientorba	Ancient Orb	Monster	A
asmody	Asmody	Item	No
asmodyrare	Asmody	Item	Rare
betty	Betty	Item	No
bettyrare	Betty	Item	Rare
bunny	Bunny	Item	No
bunnyrare	Bunny	Item	Rare
champy	Champy	Item	No
champyrare	Champy	Item	Rare
chompy	Chompy	Item	No
chompyrare	Chompy	Item	Rare
chumpy	Chumpy	Item	No
chumpyrare	Chumpy	Item	Rare
cuby	Cuby	Item	No
cubyd	Cuby	Item	No
cubydrare	Cuby	Item	Rare
cubyrare	Cuby	Item	Rare
daley	Daley	Item	No
daleyrare	Daley	Item	Rare
fenny	Fenny	Item	No
fennyrare	Fenny	Item	Rare
flamy	Flamy	Item	No
flamyrare	Flamy	Item	Rare
harley	Harley	Item	No
harleya	Harley	Item	A
harleyb	Harley	Item	B
harleyrare	Harley	Item	Rare
liante	Lianty	Item	No
lianterare	Lianty	Item	Rare
mozzy	Mozzy	Item	No
mozzyrare	Mozzy	Item	Rare
oculy	Oculy	Item	No
oculyrare	Oculy	Item	Rare
orby	Orby	Item	No
orbyrare	Orby	Item	Rare
rifty	Rifty	Item	No
riftyrare	Rifty	Item	Rare
scaraby	Scaraby	Item	No
scarabyrare	Scaraby	Item	Rare
sharpy	Sharpy	Item	No
sharpyrare	Sharpy	Item	Rare
slimy	Slimy	Item	No
slimyrare	Slimy	Item	Rare
stormy	Stormy	Item	No
stormyrare	Stormy	Item	Rare
thony	Thony	Item	No
thonyrare	Thony	Item	Rare
tombstone	Tombstone	Item	No
wolfy	Wolfy	Item	No
wolfyrare	Wolfy	Item	Rare
piggybank	Piggy Bank	Item	No
piousring	Pious Ring	Item	No
piousringrare	Pious Ring	Item	Rare
platemail	Platemail	Item	No
platemailrare	Platemail	Item	Rare
platinumring	Platinum Ring	Item	No
platinumringrare	Platinum Ring	Item	Rare
pointyhat	Pointy Hat	Item	No
pointyhatrare	Pointy Hat	Item	Rare
poisoneddagger	Poisoned Dagger	Item	No
poisoneddaggerrare	Poisoned Dagger	Item	Rare
powercoil	Power Coil	Item	No
powercoilrare	Power Coil	Item	Rare
powerglove	Power Glove	Item	No
powerglovea	Power Glove	Item	A
powergloveb	Power Glove	Item	B
primalnecklace	Primal Necklace	Item	No
primalnecklacerare	Primal Necklace	Item	Rare
prophetstaff	Prophet's Staff	Item	No
prophetstaffa	Prophet's Staff	Item	A
prophetstaffb	Prophet's Staff	Item	B
prophetstaffrare	Prophet's Staff	Item	Rare
pyromancerrobe	Pyromancer Robe	Item	No
pyromancerroberare	Pyromancer Robe	Item	Rare
quill	Quill	Item	No
quillrare	Quill	Item	Rare
raggeddoll	Ragged Doll	Item	No
raggeddolla	Ragged Doll	Item	A
raggeddollb	Ragged Doll	Item	B
raiderslicer	Raider Slicer	Item	No
raiderslicerrare	Raider Slicer	Item	Rare
raincoat	Raincoat	Item	No
raincoatrare	Raincoat	Item	Rare
rangerarmor	Ranger Armor	Item	No
rangerarmora	Ranger Armor	Item	A
rangerarmorb	Ranger Armor	Item	B
ravenstaff	Raven Staff	Item	No
